Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,LT,EQ,1494.65,1493.8,1506.9,1492.0,1503.95,1502.95,1500.79,449532,67465451775000.0,15240,161587,0.35950000000000004
2015-01-02,LT,EQ,1502.95,1501.5,1539.0,1501.5,1537.0,1534.65,1526.59,1291056,197091403270000.0,56559,556195,0.4308
2015-01-05,LT,EQ,1534.65,1545.35,1571.0,1545.35,1559.0,1556.0,1561.25,1451018,226539893555000.03,52706,483012,0.3329
2015-01-06,LT,EQ,1556.0,1541.0,1544.75,1496.05,1498.0,1504.1,1518.64,2032017,308590400760000.0,68691,1097223,0.54
2015-01-07,LT,EQ,1504.1,1498.75,1510.0,1485.55,1507.8,1500.5,1499.27,1375757,206262469670000.0,71474,589837,0.42869999999999997
2015-01-08,LT,EQ,1500.5,1519.5,1523.5,1504.15,1509.0,1510.05,1511.54,970636,146715431305000.0,40689,398937,0.41100000000000003
2015-01-09,LT,EQ,1510.05,1522.0,1524.0,1488.0,1501.0,1500.25,1503.92,1157153,174026229595000.0,39597,437816,0.37840000000000007
2015-01-12,LT,EQ,1500.25,1503.9,1537.0,1495.1,1533.0,1534.2,1519.27,1023547,155503929255000.0,37774,420274,0.4106
2015-01-13,LT,EQ,1534.2,1544.95,1547.15,1516.2,1518.9,1519.5,1529.61,878899,134437379259999.98,32183,309876,0.35259999999999997
2015-01-14,LT,EQ,1519.5,1522.5,1534.1,1500.0,1525.0,1518.0,1516.33,984594,149296907545000.0,43205,379994,0.3859
2015-01-15,LT,EQ,1518.0,1545.0,1586.2,1535.5,1564.0,1573.7,1564.23,2279394,356550168790000.0,78948,1345238,0.5902000000000001
2015-01-16,LT,EQ,1573.7,1582.5,1612.0,1560.0,1595.0,1591.75,1591.9,2796685,445203280870000.0,118773,1536270,0.5493
2015-01-19,LT,EQ,1591.75,1603.0,1623.0,1601.9,1616.55,1614.85,1614.28,1391965,224701709725000.0,57268,762136,0.5475
2015-01-20,LT,EQ,1614.85,1621.9,1634.0,1601.0,1631.0,1629.55,1617.96,1392519,225303424625000.0,65256,601812,0.4322
