Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ONGC,EQ,341.35,340.25,344.75,340.1,343.7,344.05,342.8,1232882,42263120445000.0,15844,512871,0.41600000000000004
2015-01-02,ONGC,EQ,344.05,344.1,352.5,344.1,350.0,349.2,349.07,2490979,86953498115000.0,45021,1199766,0.4816
2015-01-05,ONGC,EQ,349.2,347.0,358.0,346.0,353.5,353.15,353.69,4049746,143237375170000.0,53383,1895057,0.4679
2015-01-06,ONGC,EQ,353.15,348.55,348.95,330.6,331.75,333.15,338.43,6016665,203624550190000.0,78415,3603987,0.599
2015-01-07,ONGC,EQ,333.15,333.0,341.55,328.1,338.6,338.05,335.69,5958447,200020893940000.0,52406,2602628,0.4368
2015-01-08,ONGC,EQ,338.05,342.95,343.85,335.5,340.5,341.8,340.75,4385954,149452931145000.0,49848,2401764,0.5476
2015-01-09,ONGC,EQ,341.8,347.1,356.9,336.4,350.6,351.0,348.14,8815843,306915415905000.0,98438,3070247,0.3483
2015-01-12,ONGC,EQ,351.0,352.05,352.4,344.45,347.1,347.7,347.75,2105033,73201953530000.0,26887,924533,0.43920000000000003
2015-01-13,ONGC,EQ,347.7,348.0,348.6,338.3,340.2,339.95,340.56,4930014,167894679415000.0,83827,3144709,0.6379
2015-01-14,ONGC,EQ,339.95,340.0,346.0,339.0,344.5,344.05,342.45,4469815,153067293595000.0,75864,3008286,0.6729999999999999
2015-01-15,ONGC,EQ,344.05,349.0,353.0,342.65,344.05,346.5,347.21,7158658,248554432205000.03,80264,4475957,0.6253000000000001
2015-01-16,ONGC,EQ,346.5,345.0,352.0,343.35,346.95,347.1,347.14,2856616,99165861400000.0,59174,1705971,0.5972
2015-01-19,ONGC,EQ,347.1,349.1,353.0,345.8,348.6,347.5,349.06,2033127,70967353610000.0,25755,868935,0.4274
2015-01-20,ONGC,EQ,347.5,351.5,351.5,347.3,350.4,350.3,349.71,3228047,112888915330000.0,40811,1736498,0.5379
2015-01-21,ONGC,EQ,350.3,350.15,350.5,344.1,346.35,346.05,346.21,5908766,204567034560000.0,73027,4679633,0.792
2015-01-22,ONGC,EQ,346.05,347.0,354.85,345.75,353.75,352.9,350.99,5374509,188641434265000.0,67839,3300912,0.6142000000000001
2015-01-23,ONGC,EQ,352.9,355.0,356.0,347.55,349.55,348.8,351.85,4282933,150696958025000.0,56576,2643049,0.6171
2015-01-27,ONGC,EQ,348.8,350.0,351.6,346.05,350.0,350.25,348.65,3126582,109007132009999.98,40968,2083028,0.6662
2015-01-28,ONGC,EQ,350.25,350.0,356.5,348.55,354.65,353.9,352.01,4691651,165150299300000.0,71251,3102386,0.6613
2015-01-29,ONGC,EQ,353.9,352.0,355.5,347.5,350.5,351.9,351.44,7034153,247207166635000.0,62959,4821128,0.6854000000000001
